trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
160,0,160,0,256.6103468,257.610594,257.610594,1,down,1,0.5147354,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
161,0,161,0,258.1437219,259.143877,259.143877,-1,up,0,0.1685065,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
162,0,162,0,259.3433418,260.3439214,260.3439214,0,up,1,0.4343713,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
163,0,163,0,260.8101556,261.8103555,261.8103555,0,up,1,0.7469821,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
164,0,164,0,262.5766034,263.576808,263.576808,0,up,0,0.4910305,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
165,0,165,0,264.0932271,265.0933091,265.0933091,4,up,0,0.5719403,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
166,0,166,0,265.6932064,266.6934833,266.6934833,0,down,0,0.8629062,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
167,0,167,0,267.5765903,268.5966775,268.5966775,0,up,1,0.4416162,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
168,0,168,0,269.0597642,270.0600401,270.0600401,0,up,1,0.4643455,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
169,0,169,0,270.5430536,271.5430852,271.5430852,0,up,1,0.6513064,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
170,0,170,0,272.2263464,273.2264052,273.2264052,0,up,1,0.2954145,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
171,0,171,0,273.5430181,274.5432617,274.5432617,-1,up,0,0.2920935,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
172,0,172,0,274.8595464,275.8597085,275.8597085,-4,up,0,0.4017289,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
173,0,173,0,276.2928931,277.292943,277.292943,0,up,1,0.8169847,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
174,0,174,0,278.126015,279.1261149,279.1261149,0,up,1,0.4559832,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
175,0,175,0,279.6091986,280.6097658,280.6097658,0,up,1,0.3697863,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
176,0,176,0,281.0091807,282.0094934,282.0094934,0,up,0,0.371435,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
177,0,177,0,282.4092535,283.4093649,283.4093649,-5,up,0,0.5885112,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
178,0,178,0,284.025653,285.0260561,285.0260561,0,down,0,1.399847,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
179,0,179,0,286.4424761,287.4427765,287.4427765,2,down,1,0.8298493,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
180,0,180,0,288.2922181,289.2926177,289.2926177,0,down,0,1.8510911,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
181,0,181,0,291.1754726,292.1756452,292.1756452,0,up,1,0.1029801,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
182,0,182,0,292.3089115,293.3090172,293.3090172,0,up,1,0.9036531,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
183,0,183,0,294.2419113,295.2864102,295.2864102,-3,up,0,0.3992392,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
184,0,184,0,295.7086143,296.7088559,296.7088559,-2,up,0,1.2821963,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
185,0,185,0,298.0085401,299.009034,299.009034,-2,up,0,0.4100644,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
186,0,186,0,299.4417759,300.442043,300.442043,0,up,1,0.6870273,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
187,0,187,0,301.1583479,302.1587439,302.1587439,2,up,0,0.4725819,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
188,0,188,0,302.6583243,303.6585443,303.6585443,4,down,1,0.3706313,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
189,0,189,0,304.0582011,305.0586991,305.0586991,-5,down,1,0.2743705,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
190,0,190,0,305.3584486,306.3585749,306.3585749,0,down,0,2.6846587,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
191,0,191,0,309.0745985,310.0748362,310.0748362,4,up,0,0.3438562,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
192,0,192,0,310.4413772,311.4415548,311.4415548,3,down,1,0.1654594,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
193,0,193,0,311.624526,312.6247565,312.6247565,2,down,1,0.4567956,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
194,0,194,0,313.1078397,314.1082663,314.1082663,-5,down,1,2.0802788,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
195,0,195,0,316.2078917,317.2082419,317.2082419,0,up,1,0.2083159,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
196,0,196,0,317.4409664,318.4412562,318.4412562,4,up,0,0.4603096,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
197,0,197,0,318.9242773,319.9244502,319.9244502,0,down,0,2.2852279,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
198,0,198,0,322.24084,323.2408876,323.2408876,-3,up,0,0.8036404,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
199,0,199,0,324.0741728,325.0742962,325.0742962,0,up,1,0.2248816,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
